segment,model,customers,Hit@1,Hit@3,MRR
All,Popularity,539,0.16326530612244897,0.6289424860853432,0.43653591306652534
Cold start,Popularity,335,0.16417910447761194,0.582089552238806,0.42604832977967305
Has history,Popularity,204,0.16176470588235295,0.7058823529411765,0.4537581699346405
All,Co-occurrence,539,0.22634508348794063,0.6512059369202227,0.48056807138439794
Cold start,Co-occurrence,335,0.16417910447761194,0.582089552238806,0.42604832977967305
Has history,Co-occurrence,204,0.3284313725490196,0.7647058823529411,0.5700980392156861
All,LightGBM,539,0.6233766233766234,0.9461966604823747,0.7838766675501369
Cold start,LightGBM,335,0.6029850746268657,0.9313432835820895,0.7681876332622601
Has history,LightGBM,204,0.6568627450980392,0.9705882352941176,0.8096405228758169
